checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:17076,predicate:2,MONDO:0009061,CHEBI:6706,predicate:2,MONDO:0004985,10.919540405273438
model_10.pt,CHEBI:72564,predicate:2,MONDO:0858956,CHEBI:6706,predicate:2,MONDO:0004985,92.53329467773438
model_10.pt,CHEBI:69478,predicate:3,UMLS:C1306577,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:134991,predicate:1,MONDO:0018546,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:25351,predicate:2,MONDO:0005233,CHEBI:6706,predicate:2,MONDO:0004985,94.54727172851562
model_10.pt,CHEBI:3766,predicate:0,HP:0002240,CHEBI:6706,predicate:2,MONDO:0004985,0.0
model_10.pt,CHEBI:8024,predicate:2,MONDO:0043510,CHEBI:6706,predicate:2,MONDO:0004985,21.563709259033203
model_10.pt,CHEBI:28077,predicate:0,MONDO:0005244,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:8077,predicate:2,MONDO:0004994,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:YI437801BE,predicate:2,MONDO:0001056,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:2549,predicate:3,UMLS:C0267596,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:91398,predicate:2,MONDO:0005061,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28838,predicate:3,HP:0000217,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:81579,predicate:3,HP:0000969,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:83G67E21XI,predicate:2,MONDO:0012725,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:175901,predicate:0,MONDO:0004982,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28790,predicate:0,MONDO:0001673,CHEBI:3437,predicate:1,MONDO:0001358,0.0
